,Unnamed: 0,Unnamed: 0.1,序号,车型,上车时间,城 市,起点,终点,里程 [公里],金额 [元],cmplt_start_address,cmplt_ending_address,cmplt_start_address_converted,cmplt_ending_address_converted
20,20,20,21,快车,04-25 13:14 周四,北京市,兴华大街|北京石油化工学院-北2门,观音寺小区25号楼,4.8,12.12,北京市兴华大街|北京石油化工学院-北2门,北京市观音寺小区25号楼,"116.332131,39.7562","116.3473,39.7278"
21,21,21,22,快车,04-29 15:53 周一,北京市,观音寺-北门,兴业大街|北京石油化工学院-北1门,3.7,13,北京市观音寺-北门,北京市兴业大街|北京石油化工学院-北1门,"116.347837,39.7286","116.324701,39.7499"
22,22,22,23,快车,04-30 16:11 周二,北京市,兴华大街|北京石油化工学院-北2门,帝园商城(黄村东大街),3,13,北京市兴华大街|北京石油化工学院-北2门,北京市帝园商城(黄村东大街),"116.332131,39.7562","116.34055,39.7322"
23,23,23,24,快车,05-01 18:56 周三,北京市,兴业大街|枣园小区-西北门,大兴区|康泰园(南门),1.7,13,北京市兴业大街|枣园小区-西北门,北京市大兴区|康泰园(南门),"116.322511,39.7764","116.341483,39.7269"
24,24,24,25,快车,05-07 17:05 周二,北京市,兴华大街|枣园小区-南门,观音寺小区25号楼,4.3,14.42,北京市兴华大街|枣园小区-南门,北京市观音寺小区25号楼,"116.332131,39.7562","116.3473,39.7278"
25,25,25,26,快车,05-08 07:29 周三,北京市,观音寺-北门,兴华大街|北京石油化工学院-南门,3.7,17.12,北京市观音寺-北门,北京市兴华大街|北京石油化工学院-南门,"116.347837,39.7286","116.325793,39.7462"
26,26,26,27,快车,05-09 11:26 周四,北京市,兴华大街|北京石油化工学院-南门,观音寺小区25号楼,4,13,北京市兴华大街|北京石油化工学院-南门,北京市观音寺小区25号楼,"116.325793,39.7462","116.3473,39.7278"
27,27,27,28,快车,05-10 21:40 周五,北京市,兴华大街|北京石油化工学院-北2门,观音寺小区25号楼,4.4,18.04,北京市兴华大街|北京石油化工学院-北2门,北京市观音寺小区25号楼,"116.332131,39.7562","116.3473,39.7278"
28,28,28,29,快车,05-13 07:34 周一,北京市,观音寺-北门,兴华大街|北京石油化工学院-南门,4,18.4,北京市观音寺-北门,北京市兴华大街|北京石油化工学院-南门,"116.347837,39.7286","116.325793,39.7462"
29,29,29,30,快车,05-15 14:27 周三,北京市,兴华大街|北京石油化工学院-北2门,观音寺小区25号楼,4.3,13.38,北京市兴华大街|北京石油化工学院-北2门,北京市观音寺小区25号楼,"116.332131,39.7562","116.3473,39.7278"
30,30,30,31,快车,05-16 09:55 周四,北京市,兴华大街|北京石油化工学院-北2门,大兴区|康泰园,2.1,12.48,北京市兴华大街|北京石油化工学院-北2门,北京市大兴区|康泰园,"116.332131,39.7562","116.341483,39.7269"
31,31,31,32,快车,05-16 15:25 周四,北京市,康庄路|康泰园-南门,兴业大街|北京石油化工学院-北1门,2.2,12.48,北京市康庄路|康泰园-南门,北京市兴业大街|北京石油化工学院-北1门,"116.325202,39.7572","116.324701,39.7499"
32,32,32,33,快车,05-18 16:02 周六,北京市,兴华大街|北京石油化工学院-北2门,观音寺小区25号楼,4.4,14.82,北京市兴华大街|北京石油化工学院-北2门,北京市观音寺小区25号楼,"116.332131,39.7562","116.3473,39.7278"
33,33,33,34,快车,05-23 22:19 周四,北京市,兴业大街|中国工商银行(丽园路支行),观音寺小区25号楼,4.7,16.81,北京市兴业大街|中国工商银行(丽园路支行),北京市观音寺小区25号楼,"116.324651,39.7502","116.3473,39.7278"
34,34,34,35,快车,05-27 22:46 周一,北京市,兴华大街|北京石油化工学院-北2门,观音寺小区25号楼,4.4,17.04,北京市兴华大街|北京石油化工学院-北2门,北京市观音寺小区25号楼,"116.332131,39.7562","116.3473,39.7278"
35,35,35,36,快车,05-28 07:33 周二,北京市,观音寺-北门,兴华大街|北京石油化工学院-南门,3.9,19.84,北京市观音寺-北门,北京市兴华大街|北京石油化工学院-南门,"116.347837,39.7286","116.325793,39.7462"
36,36,36,37,快车,06-01 22:58 周六,北京市,兴业大街|中国工商银行(丽园路支行),观音寺小区25号楼,4.6,21.14,北京市兴业大街|中国工商银行(丽园路支行),北京市观音寺小区25号楼,"116.324651,39.7502","116.3473,39.7278"
37,37,37,38,快车,06-02 16:59 周日,北京市,观音寺-北门,大兴区|康泰园,6.1,20.94,北京市观音寺-北门,北京市大兴区|康泰园,"116.347837,39.7286","116.341483,39.7269"
38,38,38,39,快车,06-04 17:30 周二,北京市,兴华大街|北京石油化工学院-北2门,观音寺小区25号楼,4.3,17.28,北京市兴华大街|北京石油化工学院-北2门,北京市观音寺小区25号楼,"116.332131,39.7562","116.3473,39.7278"
39,39,39,40,快车,06-08 10:22 周六,北京市,观音寺-北门,大兴区|康泰园,6.2,18.73,北京市观音寺-北门,北京市大兴区|康泰园,"116.347837,39.7286","116.341483,39.7269"
40,40,40,41,快车,06-08 16:56 周六,北京市,兴华大街|波普公社小区,黄村|大兴一中-北门,3.2,11.44,北京市兴华大街|波普公社小区,北京市黄村|大兴一中-北门,"116.332131,39.7562","116.33709,39.7285"
41,41,41,42,快车,06-08 21:07 周六,北京市,"兴业大街|中国工商银行(丽园路支行
)对面",黄村西大街-地铁站,2.8,13,"北京市兴业大街|中国工商银行(丽园路支行
)对面",北京市黄村西大街-地铁站,"116.322511,39.7764","116.332631,39.7317"
42,42,42,43,快车,06-09 15:45 周日,北京市,观音寺-北门,大兴区|康泰园,6.5,20.98,北京市观音寺-北门,北京市大兴区|康泰园,"116.347837,39.7286","116.341483,39.7269"
43,43,43,44,快车,06-09 16:09 周日,北京市,康庄路|康泰园-南门,大兴区康庄路53号|康泰园(南门),12.6,38.86,北京市康庄路|康泰园-南门,北京市大兴区康庄路53号|康泰园(南门),"116.325202,39.7572","116.310022,39.7574"
44,44,44,45,快车,06-10 07:35 周一,北京市,黄村|康泰园,兴业大街|北京石油化工学院-北1门,2.2,13,北京市黄村|康泰园,北京市兴业大街|北京石油化工学院-北1门,"116.33709,39.7285","116.324701,39.7499"
45,45,45,46,快车,06-13 20:57 周四,北京市,兴华大街|北京石油化工学院-北2门,大兴区|康泰园,0.9,13,北京市兴华大街|北京石油化工学院-北2门,北京市大兴区|康泰园,"116.332131,39.7562","116.341483,39.7269"
46,46,46,47,快车,06-14 12:42 周五,北京市,康庄路|康泰园-南门,兴业大街|北京石油化工学院-北1门,2.3,12.87,北京市康庄路|康泰园-南门,北京市兴业大街|北京石油化工学院-北1门,"116.325202,39.7572","116.324701,39.7499"
47,47,47,48,快车,06-14 22:18 周五,北京市,"兴业大街|中国工商银行(丽园路支行
)对面",观音寺小区25号楼,4.6,16.15,"北京市兴业大街|中国工商银行(丽园路支行
)对面",北京市观音寺小区25号楼,"116.322511,39.7764","116.3473,39.7278"
48,48,48,49,快车,06-15 15:43 周六,北京市,兴华大街|北京石油化工学院-南门,大兴区|康泰园,2.4,12.87,北京市兴华大街|北京石油化工学院-南门,北京市大兴区|康泰园,"116.325793,39.7462","116.341483,39.7269"
49,49,49,50,快车,06-16 18:04 周日,北京市,观音寺-北门,兴业大街|北京石油化工学院-北1门,4,14.05,北京市观音寺-北门,北京市兴业大街|北京石油化工学院-北1门,"116.347837,39.7286","116.324701,39.7499"
50,50,50,51,快车,06-16 19:42 周日,北京市,兴华大街|彩虹新城商铺,大兴区|康泰园,3.6,11.44,北京市兴华大街|彩虹新城商铺,北京市大兴区|康泰园,"116.332131,39.7562","116.341483,39.7269"
51,51,51,52,快车,06-16 23:41 周日,北京市,兴华园-公交站路西,观音寺小区25号楼,3.9,14.29,北京市兴华园-公交站路西,北京市观音寺小区25号楼,"116.321293,39.743","116.3473,39.7278"
52,52,52,53,快车,06-22 16:26 周六,北京市,兴华大街|北京石油化工学院-北2门,大兴区|康泰园,2.4,13,北京市兴华大街|北京石油化工学院-北2门,北京市大兴区|康泰园,"116.332131,39.7562","116.341483,39.7269"
53,53,53,54,快车,06-23 21:21 周日,北京市,观音寺-北门,大兴区|康泰园,6.2,26.92,北京市观音寺-北门,北京市大兴区|康泰园,"116.347837,39.7286","116.341483,39.7269"
54,54,54,55,快车,06-24 17:30 周一,北京市,鑫手勺东北菜(康庄路店),兴业大街|北京石油化工学院-北1门,5.4,23.04,北京市鑫手勺东北菜(康庄路店),北京市兴业大街|北京石油化工学院-北1门,"116.414092,40.0883","116.324701,39.7499"
55,55,55,56,快车,06-25 15:11 周二,北京市,兴华大街|北京石油化工学院-北2门,大兴区|康泰园,2.2,13,北京市兴华大街|北京石油化工学院-北2门,北京市大兴区|康泰园,"116.332131,39.7562","116.341483,39.7269"
56,56,56,57,快车,06-25 21:00 周二,北京市,兴华大街|枣园地铁站D西南口,大兴区|康泰园,2.5,13,北京市兴华大街|枣园地铁站D西南口,北京市大兴区|康泰园,"116.332131,39.7562","116.341483,39.7269"
57,57,57,58,快车,06-25 22:01 周二,北京市,"兴业大街|中国工商银行(丽园路支行
)对面",大兴区|康泰园,2.6,13,"北京市兴业大街|中国工商银行(丽园路支行
)对面",北京市大兴区|康泰园,"116.322511,39.7764","116.341483,39.7269"
58,58,58,59,快车,06-26 10:57 周三,北京市,鑫手勺东北菜(康庄路店),兴业大街|北京石油化工学院-北1门,2.3,13,北京市鑫手勺东北菜(康庄路店),北京市兴业大街|北京石油化工学院-北1门,"116.414092,40.0883","116.324701,39.7499"
59,59,59,60,快车,06-26 16:12 周三,北京市,兴华大街|北京石油化工学院-北2门,观音寺小区25号楼,4.4,14.04,北京市兴华大街|北京石油化工学院-北2门,北京市观音寺小区25号楼,"116.332131,39.7562","116.3473,39.7278"
60,60,60,61,快车,07-14 18:17 周日,北京市,观音寺-北门,大兴区|康泰园,6.2,18.39,北京市观音寺-北门,北京市大兴区|康泰园,"116.347837,39.7286","116.341483,39.7269"
61,61,61,62,快车,07-15 12:06 周一,北京市,康庄路|康泰园-南门,观音寺小区25号楼,6.3,19.62,北京市康庄路|康泰园-南门,北京市观音寺小区25号楼,"116.325202,39.7572","116.3473,39.7278"
62,62,62,63,快车,07-15 14:49 周一,北京市,观音寺-北门,枣园-地铁站,6.3,24.12,北京市观音寺-北门,北京市枣园-地铁站,"116.347837,39.7286","116.332204,39.7534"
63,63,63,64,快车,07-24 13:14 周三,北京市,当前位置,枣园-地铁站,4.1,15.04,观音寺小区25号楼,北京市枣园-地铁站,"116.3473,39.7278","116.332204,39.7534"
64,64,64,65,快车,07-24 18:56 周三,北京市,当前位置,兴华大街|咖啡一色(石化学院丽园小区东南),3.5,16.43,观音寺小区25号楼,北京市兴华大街|咖啡一色(石化学院丽园小区东南),"116.3473,39.7278","116.332131,39.7562"
65,65,65,66,快车,07-25 17:00 周四,北京市,当前位置,大兴区|康泰园,6.2,24.88,观音寺小区25号楼,北京市大兴区|康泰园,"116.3473,39.7278","116.341483,39.7269"
66,66,66,67,快车,07-26 08:12 周五,北京市,当前位置,滨河|大兴二中站自行车租赁点,2.6,14,观音寺小区25号楼,北京市滨河|大兴二中站自行车租赁点,"116.3473,39.7278","116.340449,39.75"
67,67,67,68,快车,07-27 15:52 周六,北京市,当前位置,大兴区|东方乐巢KTV,2.4,13,观音寺小区25号楼,北京市大兴区|东方乐巢KTV,"116.3473,39.7278","116.341483,39.7269"
68,68,68,69,快车,07-27 18:02 周六,北京市,当前位置,观音寺小区25号楼,2.3,11.44,观音寺小区25号楼,北京市观音寺小区25号楼,"116.3473,39.7278","116.3473,39.7278"
69,69,69,70,快车,07-30 10:47 周二,北京市,当前位置,清源|核工业管理干部学院,2,13,观音寺小区25号楼,北京市清源|核工业管理干部学院,"116.3473,39.7278","116.341665,39.7448"
70,70,70,71,快车,07-30 15:32 周二,北京市,当前位置,兴华大街|咖啡一色(石化学院丽园小区东南),2.2,10.4,观音寺小区25号楼,北京市兴华大街|咖啡一色(石化学院丽园小区东南),"116.3473,39.7278","116.332131,39.7562"
71,71,71,72,快车,08-01 09:58 周四,北京市,当前位置,大兴区|康泰园,6.2,22.48,观音寺小区25号楼,北京市大兴区|康泰园,"116.3473,39.7278","116.341483,39.7269"
72,72,72,73,快车,08-03 12:24 周六,北京市,当前位置,黄村西大街-地铁站,1.7,13,观音寺小区25号楼,北京市黄村西大街-地铁站,"116.3473,39.7278","116.332631,39.7317"
73,73,73,74,快车,08-04 12:34 周日,北京市,当前位置,大兴区|恒源农家院(二店),4.2,15.11,观音寺小区25号楼,北京市大兴区|恒源农家院(二店),"116.3473,39.7278","116.341483,39.7269"
74,74,74,75,快车,08-04 16:29 周日,北京市,当前位置,兴华大街|北京印刷学院,3,13,观音寺小区25号楼,北京市兴华大街|北京印刷学院,"116.3473,39.7278","116.331997,39.7446"
75,75,75,76,快车,08-04 17:19 周日,北京市,当前位置,大兴区|康泰园,3.2,13.31,观音寺小区25号楼,北京市大兴区|康泰园,"116.3473,39.7278","116.341483,39.7269"
76,76,76,77,快车,08-05 20:14 周一,北京市,当前位置,观音寺小区25号楼,8.1,27.21,观音寺小区25号楼,北京市观音寺小区25号楼,"116.3473,39.7278","116.3473,39.7278"
77,77,77,78,快车,08-06 19:40 周二,北京市,当前位置,兴华大街|布尔专业宠物养护中心,3.6,14.99,观音寺小区25号楼,北京市兴华大街|布尔专业宠物养护中心,"116.3473,39.7278","116.332131,39.7562"
78,78,78,79,快车,08-06 21:44 周二,北京市,当前位置,观音寺小区25号楼,4.2,18,观音寺小区25号楼,北京市观音寺小区25号楼,"116.3473,39.7278","116.3473,39.7278"
79,79,79,80,快车,08-07 11:38 周三,北京市,当前位置,兴华大街|北京石油化工学院-北2门,4.7,15.88,观音寺小区25号楼,北京市兴华大街|北京石油化工学院-北2门,"116.3473,39.7278","116.332131,39.7562"
80,80,80,81,快车,08-07 12:11 周三,北京市,当前位置,黄村|川府老妈菜馆,3.8,12.99,观音寺小区25号楼,北京市黄村|川府老妈菜馆,"116.3473,39.7278","116.33709,39.7285"
81,81,81,82,快车,08-07 22:39 周三,北京市,当前位置,崇文门-地铁站,0.1,14.08,观音寺小区25号楼,北京市崇文门-地铁站,"116.3473,39.7278","116.417093,39.9010"
82,82,82,83,快车,08-09 16:17 周五,北京市,当前位置,兴华大街|北京小学大兴分校,3,13,观音寺小区25号楼,北京市兴华大街|北京小学大兴分校,"116.3473,39.7278","116.325524,39.7392"
83,83,83,84,快车,08-09 16:54 周五,北京市,当前位置,大兴区|天键广场,2.6,13,观音寺小区25号楼,北京市大兴区|天键广场,"116.3473,39.7278","116.341483,39.7269"
84,84,84,85,快车,08-09 19:11 周五,北京市,枣园路|大兴区第十幼儿园-南门,兴华大街|北京市大兴区枣园小学-北门,0.9,14,北京市枣园路|大兴区第十幼儿园-南门,北京市兴华大街|北京市大兴区枣园小学-北门,"116.324126,39.7529","116.332131,39.7562"
85,85,85,86,快车,08-15 12:15 周四,北京市,观音寺-北门,枣园-地铁站,4.3,14.82,北京市观音寺-北门,北京市枣园-地铁站,"116.347837,39.7286","116.332204,39.7534"
86,86,86,87,快车,08-16 15:23 周五,北京市,观音寺-北门,大兴区|康泰园,6.2,21.98,北京市观音寺-北门,北京市大兴区|康泰园,"116.347837,39.7286","116.341483,39.7269"
87,87,87,88,快车,08-17 20:53 周六,北京市,途美酒店(北京黄村西大街店)对面,兴业大街|北京石油化工学院-北1门,4.4,15.97,北京市途美酒店(北京黄村西大街店)对面,北京市兴业大街|北京石油化工学院-北1门,"116.329593,39.7316","116.324701,39.7499"
88,88,88,89,快车,08-17 21:26 周六,北京市,兴业大街|中国工商银行(丽园路支行),观音寺小区25号楼,4.7,18.42,北京市兴业大街|中国工商银行(丽园路支行),北京市观音寺小区25号楼,"116.324651,39.7502","116.3473,39.7278"
89,89,89,90,快车,08-18 15:08 周日,北京市,观音寺-北门,枣园-地铁站,4,14.53,北京市观音寺-北门,北京市枣园-地铁站,"116.347837,39.7286","116.332204,39.7534"
90,90,90,91,快车,08-19 16:43 周一,北京市,观音寺-北门,兴业大街|北京石油化工学院-北1门,4.7,15.38,北京市观音寺-北门,北京市兴业大街|北京石油化工学院-北1门,"116.347837,39.7286","116.324701,39.7499"
91,91,91,92,快车,08-21 10:18 周三,北京市,观音寺-北门,枣园-地铁站,4.3,14.82,北京市观音寺-北门,北京市枣园-地铁站,"116.347837,39.7286","116.332204,39.7534"
92,92,92,93,快车,08-23 10:09 周五,北京市,观音寺-北门,大兴区|康泰园,6.2,21.48,北京市观音寺-北门,北京市大兴区|康泰园,"116.347837,39.7286","116.341483,39.7269"
93,93,93,94,快车,08-25 14:18 周日,北京市,观音寺-北门,大兴区|康泰园,6.1,20.86,北京市观音寺-北门,北京市大兴区|康泰园,"116.347837,39.7286","116.341483,39.7269"
94,94,94,95,快车,08-27 21:25 周二,北京市,康庄路|住总·兴康家园-北门对面,兴业大街|北京石油化工学院-北1门,1.9,14,北京市康庄路|住总·兴康家园-北门对面,北京市兴业大街|北京石油化工学院-北1门,"116.325202,39.7572","116.324701,39.7499"
95,95,95,96,快车,08-28 13:21 周三,北京市,康庄路|康泰园-南门,枣园-地铁站,2.3,13,北京市康庄路|康泰园-南门,北京市枣园-地铁站,"116.325202,39.7572","116.332204,39.7534"
96,96,96,97,快车,08-28 22:10 周三,北京市,兴业大街|中国工商银行(丽园路支行),观音寺小区25号楼,4.6,17.6,北京市兴业大街|中国工商银行(丽园路支行),北京市观音寺小区25号楼,"116.324651,39.7502","116.3473,39.7278"
97,97,97,98,快车,08-29 22:10 周四,北京市,兴业大街|中国工商银行(丽园路支行),观音寺小区25号楼,4.7,19.78,北京市兴业大街|中国工商银行(丽园路支行),北京市观音寺小区25号楼,"116.324651,39.7502","116.3473,39.7278"
98,98,98,99,快车,08-30 17:40 周五,北京市,观音寺-北门,兴业大街|北京石油化工学院-北1门,4.7,21.28,北京市观音寺-北门,北京市兴业大街|北京石油化工学院-北1门,"116.347837,39.7286","116.324701,39.7499"
99,99,99,100,快车,08-31 13:37 周六,北京市,阿泰包子(枣园路),观音寺小区25号楼,5.7,16.34,北京市阿泰包子(枣园路),北京市观音寺小区25号楼,"116.347837,39.7286","116.3473,39.7278"
100,100,100,101,快车,09-06 20:20 周五,北京市,兴华大街|枣园小区-南门对面,观音寺小区25号楼,4.3,16.95,北京市兴华大街|枣园小区-南门对面,北京市观音寺小区25号楼,"116.332131,39.7562","116.3473,39.7278"
101,101,101,102,快车,09-07 12:33 周六,北京市,兴华大街|吉野家(枣园路店),观音寺小区25号楼,6.3,29.21,北京市兴华大街|吉野家(枣园路店),北京市观音寺小区25号楼,"116.332131,39.7562","116.3473,39.7278"
102,102,102,103,快车,09-09 13:14 周一,北京市,观音寺北里小区,兴华大街|绿地中央广场(高米店),4.8,15.52,北京市观音寺北里小区,北京市兴华大街|绿地中央广场(高米店),"116.34875,39.7308","116.332131,39.7562"
103,103,103,104,快车,09-12 16:25 周四,北京市,兴华大街|北京石油化工学院-北2门,观音寺小区25号楼,4.1,16.04,北京市兴华大街|北京石油化工学院-北2门,北京市观音寺小区25号楼,"116.332131,39.7562","116.3473,39.7278"
104,104,104,105,快车,09-12 17:42 周四,北京市,观音寺-北门,黄村西大街-地铁站,1.6,14,北京市观音寺-北门,北京市黄村西大街-地铁站,"116.347837,39.7286","116.332631,39.7317"
105,105,105,106,快车,09-13 09:46 周五,北京市,兴华大街|北京石油化工学院-南门,观音寺小区25号楼,4.1,15.28,北京市兴华大街|北京石油化工学院-南门,北京市观音寺小区25号楼,"116.325793,39.7462","116.3473,39.7278"
106,106,106,107,快车,09-24 09:18 周二,北京市,观音寺-北门,兴业大街|北京石油化工学院-北1门,4.9,17.14,北京市观音寺-北门,北京市兴业大街|北京石油化工学院-北1门,"116.347837,39.7286","116.324701,39.7499"
107,107,107,108,快车,09-27 09:21 周五,北京市,观音寺-北门,兴业大街|北京石油化工学院-北1门,4.2,17.58,北京市观音寺-北门,北京市兴业大街|北京石油化工学院-北1门,"116.347837,39.7286","116.324701,39.7499"
108,108,108,109,快车,09-28 17:43 周六,北京市,兴华大街|北京石油化工学院-南门,观音寺小区25号楼,4.1,15.28,北京市兴华大街|北京石油化工学院-南门,北京市观音寺小区25号楼,"116.325793,39.7462","116.3473,39.7278"
109,109,109,110,快车,10-02 19:09 周三,北京市,兴丰大街|肯德基(绿地缤纷城北区)东南侧,大兴区黄村镇一中心观音寺小学,4.7,15.6,北京市兴丰大街|肯德基(绿地缤纷城北区)东南侧,北京市大兴区黄村镇一中心观音寺小学,"116.339495,39.7279","116.349812,39.7297"
110,110,110,111,快车,10-02 20:55 周三,北京市,观音寺-北门,兴业大街|北京石油化工学院-北1门,4.6,16.55,北京市观音寺-北门,北京市兴业大街|北京石油化工学院-北1门,"116.347837,39.7286","116.324701,39.7499"
111,111,111,112,快车,10-02 21:33 周三,北京市,兴业大街|中国工商银行(丽园路支行),观音寺小区25号楼,4.3,16.89,北京市兴业大街|中国工商银行(丽园路支行),北京市观音寺小区25号楼,"116.324651,39.7502","116.3473,39.7278"
112,112,112,113,快车,10-03 13:44 周四,北京市,兴盛街189号院-东2门,枣园-地铁站,1.3,13,北京市兴盛街189号院-东2门,北京市枣园-地铁站,"116.317729,39.7522","116.332204,39.7534"
113,113,113,114,快车,10-03 17:11 周四,北京市,"黄村|北京市大兴区疾病预防控制中心
-南门",大兴区黄村镇一中心观音寺小学,1.6,13,"北京市黄村|北京市大兴区疾病预防控制中心
-南门",北京市大兴区黄村镇一中心观音寺小学,"116.346341,39.7269","116.349812,39.7297"
114,114,114,115,快车,10-04 21:54 周五,北京市,"兴业大街|中国工商银行(丽园路支行
)对面",观音寺小区25号楼,4.6,17.55,"北京市兴业大街|中国工商银行(丽园路支行
)对面",北京市观音寺小区25号楼,"116.322511,39.7764","116.3473,39.7278"
115,115,115,116,快车,10-07 11:11 周一,北京市,观音寺-北门,荟聚·西红门购物中心地下停车场-出入口,7.8,22.14,北京市观音寺-北门,北京市荟聚·西红门购物中心地下停车场-出入口,"116.347837,39.7286","116.325754,39.7899"
116,116,116,117,快车,10-07 21:42 周一,北京市,兴华园-公交站路西,观音寺小区25号楼,3.7,15.55,北京市兴华园-公交站路西,北京市观音寺小区25号楼,"116.329666,39.7633","116.3473,39.7278"
117,117,117,118,快车,10-08 10:17 周二,北京市,观音寺-北门,兴业大街|北京石油化工学院-北1门,4.3,15.32,北京市观音寺-北门,北京市兴业大街|北京石油化工学院-北1门,"116.347837,39.7286","116.324701,39.7499"
118,118,118,119,快车,10-08 21:47 周二,北京市,兴华大街|北京石油化工学院-北2门,观音寺小区25号楼,4.2,17.35,北京市兴华大街|北京石油化工学院-北2门,北京市观音寺小区25号楼,"116.332131,39.7562","116.3473,39.7278"
